alpha	precision	recall	pred.col	F1
-658403	0.0549141087017741	0.975	hardcode.distance	0.103972274060251
-659637	0.0548986486486486	0.975	hardcode.distance	0.103944562899787
-660032	0.054883197298058	0.975	hardcode.distance	0.103916866506795
-661472	0.0548677546426562	0.975	hardcode.distance	0.103889184869473
-662026	0.0548523206751055	0.975	hardcode.distance	0.103861517976032
-663032	0.0548368953880765	0.975	hardcode.distance	0.103833865814696
-663908	0.054821478774248	0.975	hardcode.distance	0.103806228373702
-664156	0.0548060708263069	0.975	hardcode.distance	0.103778605641299
-666836	0.0547906715369486	0.975	hardcode.distance	0.103750997605746
-671124	0.0547752808988764	0.975	hardcode.distance	0.103723404255319
-671238	0.054759898904802	0.975	hardcode.distance	0.103695825578304
-672455	0.0547445255474453	0.975	hardcode.distance	0.103668261562998
-672938	0.0547291608195341	0.975	hardcode.distance	0.103640712197715
-675495	0.0547138047138047	0.975	hardcode.distance	0.103613177470776
-675518	0.0546984572230014	0.975	hardcode.distance	0.103585657370518
-676816	0.0546831183398766	0.975	hardcode.distance	0.103558151885289
-677208	0.0546677880571909	0.975	hardcode.distance	0.103530661003451
-677976	0.054652466367713	0.975	hardcode.distance	0.103503184713376
-678875	0.0546371532642197	0.975	hardcode.distance	0.103475723003449
-679040	0.0546218487394958	0.975	hardcode.distance	0.103448275862069
-682148	0.0546065527863344	0.975	hardcode.distance	0.103420843277645
-683041	0.0545912653975364	0.975	hardcode.distance	0.1033934252386
-684722	0.054575986565911	0.975	hardcode.distance	0.103366021733369
-686175	0.0545607162842753	0.975	hardcode.distance	0.103338632750397
-687115	0.0545454545454545	0.975	hardcode.distance	0.103311258278146
-687757	0.0545302013422819	0.975	hardcode.distance	0.103283898305085
-688355	0.0545149566675985	0.975	hardcode.distance	0.103256552819698
-691089	0.0544997205142538	0.975	hardcode.distance	0.103229221810482
-692201	0.0544844928751048	0.975	hardcode.distance	0.103201905265943
-692785	0.0544692737430168	0.975	hardcode.distance	0.103174603174603
-693816	0.0544540631108629	0.975	hardcode.distance	0.103147315524993
-693856	0.0544388609715243	0.975	hardcode.distance	0.103120042305658
-695528	0.05442366731789	0.975	hardcode.distance	0.103092783505155
-696058	0.0544084821428571	0.975	hardcode.distance	0.103065539112051
-696668	0.0543933054393305	0.975	hardcode.distance	0.103038309114927
-699425	0.0543781372002231	0.975	hardcode.distance	0.103011093502377
-700214	0.0543629774184555	0.975	hardcode.distance	0.102983892263005
-700785	0.0543478260869565	0.975	hardcode.distance	0.102956705385428
-701448	0.0543326831986626	0.975	hardcode.distance	0.102929532858274
-701740	0.0543175487465181	0.975	hardcode.distance	0.102902374670185
-702206	0.0543024227234754	0.975	hardcode.distance	0.102875230809813
-702218	0.0542873051224944	0.975	hardcode.distance	0.102848101265823
