alpha	precision	recall	pred.col	F1
-278360	0.0793650793650794	1	hardcode.distance	0.147058823529412
-279164	0.078125	1	hardcode.distance	0.144927536231884
-280004.5	0.0769230769230769	1	hardcode.distance	0.142857142857143
-294926	0.0757575757575758	1	hardcode.distance	0.140845070422535
-324156	0.0746268656716418	1	hardcode.distance	0.138888888888889
-339829	0.0735294117647059	1	hardcode.distance	0.136986301369863
-354904	0.072463768115942	1	hardcode.distance	0.135135135135135
-365900	0.0714285714285714	1	hardcode.distance	0.133333333333333
-372663	0.0704225352112676	1	hardcode.distance	0.131578947368421
-373733	0.0694444444444444	1	hardcode.distance	0.12987012987013
-382134	0.0684931506849315	1	hardcode.distance	0.128205128205128
-394149	0.0675675675675676	1	hardcode.distance	0.126582278481013
-398648	0.0666666666666667	1	hardcode.distance	0.125
-409506	0.0657894736842105	1	hardcode.distance	0.123456790123457
